,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
43,Rebel Bots - Xoil Wars,RBLS,polygon,0xe26cda27c13f4f87cffc2f437c5900b27ebb5bbb,"Breeding, Card Game, PVP",browser,$0.10 ,3.83%,"$22,261 ","$10,139,309 ",PathDAO,39,2022/11/12
44,XANA,XETA,ethereum,NoAddress,Metaverse,"browser,pc,mobile",$0.05 ,2.78%,"$207,438 ","$9,756,134 ",,,2022/11/12
45,Gelato,GEL,"ethereum,bnb-sidechain,avalanche,polygon,fantom,arbitrum-one,moonriver,moonbeam,cronos",0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,Other,browser,$0.16 ,10.92%,"$278,907 ","$9,264,266 ",,,2022/11/12
46,Meta Apes,PEEL,bnb-sidechain,NoAddress,"MMO, Strategy","android,ios",$0.06 ,12.21%,"$525,690 ","$9,244,537 ",,,2022/11/12
47,Revv Racing,REVV,ethereum,0x833f307ac507d47309fd8cdd1f835bef8d702a93,Racing,browser,$0.02 ,9.01%,"$940,077 ","$8,826,827 ",Yield Guild Games,41,2022/11/12
47,Revv Racing,REVV,ethereum,0x833f307ac507d47309fd8cdd1f835bef8d702a93,Racing,browser,$0.02 ,9.01%,"$940,077 ","$8,826,827 ",Avocado DAO,33,2022/11/12
48,MonkeyLeague,MBS,solana,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,"Turn-based Strategy, Arcade, Football Game",browser,$0.09 ,10.41%,"$196,830 ","$8,169,238 ",UniX Gaming,36,2022/11/12
48,MonkeyLeague,MBS,solana,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,"Turn-based Strategy, Arcade, Football Game",browser,$0.09 ,10.41%,"$196,830 ","$8,169,238 ",Avocado DAO,33,2022/11/12
48,MonkeyLeague,MBS,solana,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,"Turn-based Strategy, Arcade, Football Game",browser,$0.09 ,10.41%,"$196,830 ","$8,169,238 ",Hooga Gaming,10,2022/11/12
48,MonkeyLeague,MBS,solana,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,"Turn-based Strategy, Arcade, Football Game",browser,$0.09 ,10.41%,"$196,830 ","$8,169,238 ",Bayz,31,2022/11/12
49,Ariva Digital,ARV,bsc,0x6679eb24f59dfe111864aec72b443d1da666b360,Metaverse,browser,$0.00 ,5.95%,"$1,317,265 ","$7,980,240 ",,,2022/11/12
50,Netvrk,NTVRK,ethereum,0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a,"Metaverse, VR",browser,$0.18 ,1.55%,"$415,026 ","$7,338,849 ",,,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",Cosmic Guild,15,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",Yield Guild Games,41,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",Merit Circle,34,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",UniX Gaming,36,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",Avocado DAO,33,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",IndiGG,28,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",YGG Sea,40,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",Blackpool,17,2022/11/12
51,Genopets,GENE,solana,0x9df465460938f9ebdf51c38cc87d72184471f8f0,"RPG, Move To Earn","android,ios,mobile",$1.76 ,5.07%,"$235,068 ","$7,103,240 ",SNACKCLUB,8,2022/11/12
52,Ternoa,CAPS,ethereum,0xffba7529ac181c2ee1844548e6d7061c9a597df4,Other,browser,$0.01 ,2.17%,"$295,957 ","$6,932,984 ",,,2022/11/12
53,Star Atlas,ATLAS,solana,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,"Space Game, Metaverse",windows,$0.00 ,15%,"$1,217,259 ","$6,834,768 ",Earn Guild,68,2022/11/12
53,Star Atlas,ATLAS,solana,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,"Space Game, Metaverse",windows,$0.00 ,15%,"$1,217,259 ","$6,834,768 ",Cosmic Guild,15,2022/11/12
53,Star Atlas,ATLAS,solana,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,"Space Game, Metaverse",windows,$0.00 ,15%,"$1,217,259 ","$6,834,768 ",Yield Guild Games,41,2022/11/12
53,Star Atlas,ATLAS,solana,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,"Space Game, Metaverse",windows,$0.00 ,15%,"$1,217,259 ","$6,834,768 ",UniX Gaming,36,2022/11/12
