,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
87,Chibi Clash,Private Round,"$3,000,000 ","Genblock Capital, Jump Capital, C² Ventures, Kyros Ventures, NGC Ventures, PANONY, Petrock Capital, Polygon Studios, Shima Capital, Avocado DAO, TK Ventures, Alliance","May 31, 2022",2022/11/12
88,Cantina Royale,Seed Round,"$4,500,000 ","Mechanism Capital, Crypto.com Capital, Animoca Brands, Morningstar Ventures, GBV Capital, Merit Circle Investor, ExNetwork Capital, PathDAO, Good Games Guild","May 26, 2022",2022/11/12
89,BLOCKLORDS,Seed Round,"$15,000,000 ","Makers Fund, BITKRAFT Ventures, Delphi Digital, Animoca Brands, Shima Capital, Spartan Group, Huobi Capital","May 25, 2022",2022/11/12
90,Azra Games,Seed Round,"$15,000,000 ","NFX, Play Ventures, Andreessen Horowitz, Coinbase Ventures, ROK Capital","May 19, 2022",2022/11/12
91,FreshCut,Seed Round,"$15,000,000 ","Animoca Brands, Galaxy Digital, Hashed, Polygon, Republic Crypto","May 19, 2022",2022/11/12
92,Metatheory,Series A Round,"$24,000,000 ",Andreessen Horowitz,"May 16, 2022",2022/11/12
93,The Unfettered,Unknown Round,"$2,500,000 ","Vendetta Capital, Icetea Labs, Animoca Brands, Morningstar Ventures, Fomocraft Ventures, Gains Associates, AU21 Capital, Gate.io Labs, Good Games Guild, Momentum 6, ZBS Capital, Avstar Capital, BreederDAO","May 13, 2022",2022/11/12
94,StarryNift,Series A Round,"$10,000,000 ","Binance Labs, Alameda Research, GBV Capital, Susquehanna International Group","May 10, 2022",2022/11/12
95,Nyan Heroes,Strategic Round,"$7,500,000 ","Kosmos Ventures, Sino Global Capital, Shima Capital, Petrock Capital, Morningstar Ventures, Crypto.com Capital, Tess Ventures, Master Ventures, Ancient8, Drops Ventures, Andromeda Capital, Salad Ventures","May 10, 2022",2022/11/12
96,MechaFightClub,Series A Round,"$40,000,000 ","Andreessen Horowitz, Solana Ventures","May 09, 2022",2022/11/12
97,InfiniGods,Seed Round,"$9,000,000 ","Pantera Capital, Framework Ventures, Animoca Brands, Double Peak","May 06, 2022",2022/11/12
98,Untamed Planet,Series A Round,"$24,300,000 ",Animoca Brands,"May 06, 2022",2022/11/12
99,Ready Games,Unknown Round,"$3,000,000 ","BITKRAFT Ventures, Hashed, Tribe Capital, IOSG Ventures, Spartan Group, Mapleblock, Polygon","May 06, 2022",2022/11/12
100,LootRush,Seed Round,"$12,000,000 ","Paradigm, Andreessen Horowitz","May 05, 2022",2022/11/12
101,Stakes,Seed Round,"$5,300,000 ","Digital Currency Group, FBG Capital, CMS Holdings","May 05, 2022",2022/11/12
102,Cometh,Unknown Round,"$10,000,000 ","Stake Capital, White Star Capital","May 05, 2022",2022/11/12
103,The Football Club,Seed Round,"$2,650,000 ",Dreamcraft,"May 04, 2022",2022/11/12
104,The Crypt Game,Seed Round,"$4,000,000 ",BITKRAFT Ventures,"May 02, 2022",2022/11/12
105,Rivermen,Unknown Round,"$4,500,000 ","HashKey Capital, Bonfire Ventures, UOBVenture, Signum Capital, SuperChain Capital","Apr 29, 2022",2022/11/12
106,Apeiron,Seed Round,"$13,500,000 ","Hashed, DeFiance Capital, Morningstar Ventures, Spartan Group, DeFi Capital, GuildFi","Apr 27, 2022",2022/11/12
107,Goons Of Balatroon,Private Round,"$2,450,000 ","Merit Circle Investor, Jun Capital, Maven Capital, Faculty Capital, Bullperks, Halvings Capital","Apr 23, 2022",2022/11/12
108,OpenBlox,Seed Round,"$3,000,000 ","Shima Capital, 3Commas, Digital Strategies, MC Ventures (Muhabbit), JumpCrypto, Kyros Ventures","Apr 21, 2022",2022/11/12
