,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
399,The Realm Defenders,Private Round,"$1,600,000 ","ExNetwork Capital, X21 Digital, OIG Oracles Investment Group, Maven 11 Capital, CSP DAO, Basics Capital, Chain Capital, Unanimous Capital, Asteroid Capital","Sep 16, 2021",2022/11/12
400,Soccer Hub,Private Round,"$1,320,000 ","Momentum 6, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Magnus Capital, Icetea Labs, WaterDrip Capital, Panda Capital, Raptor Capital, Basics Capital, BlueMoon Venture Capital","Sep 15, 2021",2022/11/12
401,Stardust,Seed Round,"$5,000,000 ","Lattice, Framework Ventures, KleinerPerkins, Blockchain Capital, DistributedGlobal, Maven 11 Capital, Red Beard Ventures, Double Peak, NGC Ventures, OP Crypto, Triblock, DanRubin, DerekHsue, PimdeWitte, Sebastien Borget, GabbyDizon, Piers Kicks, Multicoin Capital, CMT Digital, FulgurVentures, NikilViswanathan","Sep 15, 2021",2022/11/12
402,H3RO3S,Private Round,"$1,650,000 ","GD10 Ventures, Dutch Crypto Investors, Lotus Capital, CSP DAO, Gains Associates, Maven Capital, CryptoThugs Capital, Maximus Capital, Halvings Capital, Alpha Moon Capital","Sep 14, 2021",2022/11/12
403,Dark Frontiers,Seed Round,"$2,362,000 ","LD Capital, DAO Maker Investor, Basics Capital, Double Peak, Dweb3 Capital, Hello Capital, Gamestarter","Sep 13, 2021",2022/11/12
404,Monsters Clan,Seed Round,"$1,350,000 ","Dutch Crypto Investors, ExNetwork Capital, X21 Digital, AU21 Capital, DuckDao, GD10 Ventures, Legion Ventures, OIG Investment Group, Deltahub Capital, Seedify, Global Key Investment, Dreamboat Capital","Sep 13, 2021",2022/11/12
405,Green Beli,Private Round,"$1,075,000 ","AU21 Capital, Titans Ventures, X21 Digital, Momentum 6, VBC Ventures, Basics Capital, SS Ventures, Dreamboat Capital, Onebit Ventures, CMC Capital","Sep 12, 2021",2022/11/12
406,Kawaii Islands,Private Round,"$2,400,000 ","Kyros Ventures, AU21 Capital, X21 Digital, Shinchan Group, Sky Vision Capital, Digital Finance Group, Signum Capital, HyperChain Capital, Mapleblock, IMBA, Oraichain","Sep 09, 2021",2022/11/12
407,Crypto Gaming United,Seed Round,"$5,000,000 ","Shaw and Partners, BlockchainAssets, M.H.Carnegie&Co, QuinoaGroup","Sep 09, 2021",2022/11/12
408,Ulti Arena,Seed Round,"$4,000,000 ","Panda Capital, Luna Capital, LucidBlue Ventures","Sep 08, 2021",2022/11/12
409,Defina,Private Round,"$300,000 ","Titans Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Huobi Capital, OKEx Blockdream Ventures, Plutus.vc, CSP DAO, 7 O’Clock Capital, Bitrise Capital, Bonfire Ventures","Sep 07, 2021",2022/11/12
410,Monsters Clan,Private Round,"$1,350,000 ","Kyros Ventures, ExNetwork Capital, BBS Finance, Titans Ventures, GD10 Ventures, X21 Digital, DuckDao, SkyBridge 20 Ventures, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group","Sep 06, 2021",2022/11/12
411,Mech Master,Private Round,"$2,291,250 ","X21 Digital, OIG Oracles Investment Group, Magnus Capital, OKEx Blockdream Ventures, Icetea Labs, ROK Capital, Youbi Capital, Basics Capital, MiH Ventures, OneMax Capital","Sep 06, 2021",2022/11/12
412,Monsta Infinite,Seed Round,"$2,531,250 ","GD10 Ventures, X21 Digital, OIG Oracles Investment Group, Master Ventures, Kirin Fund, CryptoThugs Capital, BrotherHood Ventures, Bullperks, BCA Investment, Ego Crypto, Asgard Capital","Sep 04, 2021",2022/11/12
413,Snook,Private Round,"$2,570,000 ","NGC Ventures, Legion Ventures, Pluto Digital Assets, Metrix Capital, Lupa X Capital, pSquare Capital, Brilliance Ventures, Dokia Capital, Maven Capital, 6th Man Ventures, Swiss Gem Investments (SWGI)","Sep 04, 2021",2022/11/12
414,VikingsChain,Private Round,"$198,000 ","GD10 Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Infinity Gainz","Sep 03, 2021",2022/11/12
415,Bomb Crypto,Private Round,"$300,000 ","Alphabit Fund, GD10 Ventures, Kardia Ventures, Alpha Moon Capital, Dreamboat Capital, CoinF Ventures, Wildcat Ventures","Sep 01, 2021",2022/11/12
416,Kaby Arena,Private Round,"$1,255,000 ","Kyros Ventures, ExNetwork Capital, AU21 Capital, Fomocraft Ventures, DAO Maker Investor, Icetea Labs, Vendetta Capital, Gains Associates, Coincurb, 1010 Capital, ReBlock","Aug 31, 2021",2022/11/12
417,Pocoland,Private Round,"$2,300,000 ","GD10 Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Avstar Capital, Panda Capital, Everse Capital, Infinity Capital, SS Ventures, WhiteList RU, Asteroid Capital, Coin TV","Aug 30, 2021",2022/11/12
418,Revolve Games,Private Round,"$1,780,000 ","GD10 Ventures, Magnus Capital, Maven Capital, Avalon Wealth Club, Stacker Ventures DAO, HODL","Aug 29, 2021",2022/11/12
419,DeathRoad,Private Round,"$868,000 ","X21 Digital, Magnus Capital, Icetea Labs, Metrix Capital, Raptor Capital, Everse Capital","Aug 24, 2021",2022/11/12
420,DeFi Warrior,Private Round,"$2,300,000 ","ExNetwork Capital, Titans Ventures, X21 Digital, NGC Ventures, Momentum 6, Coin98 Ventures, Spark Digital Capital, OKEx Blockdream Ventures, VBC Ventures, GFS Ventures, Megala Ventures","Aug 20, 2021",2022/11/12
421,SpaceY 2025,Private Round,"$4,650,000 ","Titans Ventures, Lancer Capital, Fenbushi Capital, Zonff Partners, Dec Ventures, Kretos Ventures, Alpha Moon Capital, BullishBlock Capital","Aug 17, 2021",2022/11/12
422,Bloktopia,Private Round,"$4,400,000 ","AU21 Capital, X21 Digital, Animoca Brands, Avalanche, Shima Capital, Genblock Capital, Magnus Capital, ZBS Capital, Polygon Studios","Aug 12, 2021",2022/11/12
423,Step Hero,Private Round,"$1,335,000 ","Kyros Ventures, ExNetwork Capital, Momentum 6, Dutch Crypto Investors, OIG Oracles Investment Group, Icetea Labs, Gate.io Labs, Gains Associates, Avstar Capital, HG Ventures (DAS Kapital), 1010 Capital","Aug 11, 2021",2022/11/12
424,Wanaka Farm,Private Round,"$660,000 ","DuckDao, Poolz, TAG Ventures, Kyber Network, TomoChain, Lua Ventures, Oxbull, TK Ventures, Babylons, Black Ventures","Aug 10, 2021",2022/11/12
425,Star Atlas,Private Round,-,"Mechanism Capital, Animoca Brands, Sino Global Capital, LD Capital, Spark Digital Capital, Republic Labs, Yield Guild Games","Aug 02, 2021",2022/11/12
426,Splinterlands,Private Round,"$3,600,000 ","Animoca Brands, 3Commas, Gate.io Labs, Polygon Studios, Blockchain Founders Fund, Enjin, Yield Guild Games, Alpha Sigma Capital, AGE Crypto Fund","Jul 27, 2021",2022/11/12
427,Virtually Human Studio (ZED RUN),Series A Round,"$20,000,000 ","Andreessen Horowitz, Red Beard Ventures, TheCherninGroup","Jul 21, 2021",2022/11/12
428,BaconDAO,Private Round,"$760,000 ","AU21 Capital, Fomocraft Ventures, Trustdao Capital, X21 Digital, Momentum 6, Icetea Labs, Nebula Ventures","Jul 18, 2021",2022/11/12
429,DinoX,Private Round,"$1,080,000 ","X21 Digital, Marshland Capital, DAO Maker Investor, Magnus Capital, Metrix Capital, Peech Capital, Raptor Capital, Lupa X Capital, Cinch Block, Interchain Ventures, ReBlock","Jul 16, 2021",2022/11/12
430,YAY Games,Private Round,"$1,345,000 ","AU21 Capital, Titans Ventures, There Exists Ventures, Black Dragon, Gains Associates, SMO Capital, MC Ventures (Muhabbit), Mizuki Capital, IBC Group","Jul 09, 2021",2022/11/12
431,Bling,Seed Round,-,Coinbase Ventures,"Jul 02, 2021",2022/11/12
432,Community Gaming,Seed Round,"$2,300,000 ",,"Jul 01, 2021",2022/11/12
433,Award Pool,Seed Round,"$2,300,000 ","JezSan, Flori Ventures, Equivesto, FunFairTechnologies","Jun 29, 2021",2022/11/12
434,Gamestarter,Seed Round,"$2,000,000 ","Kyros Ventures, AU21 Capital, X21 Digital, MGNR, DAO Maker Investor, Shima Capital, Angelone Capital, AC Capital, Evangelion Capital, Coincurb, ReBlock","Jun 11, 2021",2022/11/12
435,YOLOrekt,Seed Round,-,"Pantera Capital, Lemniscap, AngelDAO, JoshHannah, JackHerrick, Block0","Jun 07, 2021",2022/11/12
436,DeFi11,Private Round,"$3,500,000 ","NonceBlox, Kyros Ventures, ExNetwork Capital, AU21 Capital, Fomocraft Ventures, Alphabit Fund, Launchpool, TDeFi, Biconomy, Minted Lab, Defied Bank","Jun 03, 2021",2022/11/12
437,2CrazyNFT,Seed Round,"$1,700,000 ","DCICapital, DTSCapital, AU21 Capital, SupertargetCapital, ExNetwork Capital, GD10 Ventures, Tidal Ventures, Magnus Capital, MEXCExchange, MDACapital, Minted Lab, Chain Ridge Capital, DesignatedCapital, Blocksync Ventures, Megala Ventures, Orion Protocol, GTA Ventures, Ignition, Cloud Capital, X21 Digital, Stakely, Twin Apex Capital, Chronos Ventures, WingsFoundation","Jun 02, 2021",2022/11/12
438,Realm,Private Round,"$2,250,000 ","Alphabit Fund, NGC Ventures, Genesis Block Ventures, LD Capital, Marshland Capital, Magnus Capital, Moonrock Capital, Global Blockchain Innovative Capital, SL2 Capital, Cinch Block","May 27, 2021",2022/11/12
439,Bright Star Studios,Seed Round,"$2,000,000 ","Yield Guild Games, Mechanism Capital, DeFiance Capital, CoinGecko, Delphi Digital, Animoca Brands","May 26, 2021",2022/11/12
440,Faraland,Private Round,"$2,400,000 ","ExNetwork Capital, AU21 Capital, Fomocraft Ventures, X21 Digital, Morningstar Ventures, Coin98 Ventures, PNYX Ventures, Rarestone Capital, Spark Digital Capital, Magnus Capital, Icetea Labs","May 14, 2021",2022/11/12
441,Big Time Studios,Series A Round,"$10,300,000 ","FBG Capital, Digital Currency Group, SoundVentures, Alameda Research, OKX","May 13, 2021",2022/11/12
442,Big Time,Series A Round,"$10,300,000 ","FBG Capital, Digital Currency Group, SoundVentures, Alameda Research, BlackPool, GuildFi, Yield Guild Games, Merit Circle Investor, Avocado DAO, YGG SEA","May 12, 2021",2022/11/12
443,Trade Race Manager,Private Round,"$1,400,000 ",AU21 Capital,"May 02, 2021",2022/11/12
444,CryptoTycoon,Seed Round,-,"HappyBlock, CryptoDiffer, R8 Capital, A195 Capital, 4SV, AKG Ventures, PrimeBlock Ventures, AmplioCapital, There Exists Ventures, CatcherVC, BenMoLabs, Horizon Capital, TernaryCapital, 7StarCapital","Apr 30, 2021",2022/11/12
445,X World Games,Private Round,"$1,200,000 ","Kyros Ventures, NGC Ventures, ZBS Capital, FBG Capital, SNZ Holding, Chain Capital, Longling Capital, PreAngelFund, BTX Capital, CryptoDiffer","Apr 26, 2021",2022/11/12
446,My DeFi Pet,Private Round,"$900,000 ","Animoca Brands, Momentum 6, Spark Digital Capital, OKEx Blockdream Ventures, Axia8 Ventures, Digital Finance Group, Kardia Ventures, Megala Ventures, Consensus Capital, Clovers Ventures","Apr 23, 2021",2022/11/12
447,TradeStars,Seed Round,"$1,670,000 ","AU21 Capital, LD Capital, Sfermion, TaureonCapital, Morningstar Ventures, Spark Digital Capital, Free Company, Faculty Capital, HypePartners, NGC Ventures","Apr 22, 2021",2022/11/12
448,Virtue Poker,Strategic Round,"$5,000,000 ","ConsenSysVentures, Pantera Capital, DFG(DynamicFintechGroup)","Apr 15, 2021",2022/11/12
449,Alien Worlds,Strategic Round,"$2,000,000 ","Animoca Brands, Longling Capital, 3Commas, LD Capital","Mar 26, 2021",2022/11/12
450,Rage.Fan,Seed Round,"$1,600,000 ","X21 Digital, Magnus Capital, Moonrock Capital, AU21 Capital","Mar 22, 2021",2022/11/12
451,GamyFi,Seed Round,"$1,000,000 ","Spark Digital Capital, AU21 Capital, LD Capital, Momentum 6, Angelone Capital, InfinityLabs, 499 Block, UNITY Capital, Oasis Capital, YBB Foundation, TernaryCapital, Incuba AlphaLabs, SearchlightCapital, BKCapital, Kardia Ventures, BitMart","Mar 17, 2021",2022/11/12
452,Illuvium,Seed Round,"$5,000,000 ","Bitscale Capital, LD Capital, Lotus Capital","Mar 16, 2021",2022/11/12
453,My Neighbor Alice,Private Round,"$2,100,000 ","Kyros Ventures, X21 Digital, NGC Ventures, Genesis Block Ventures, Coin98 Ventures, Bitscale Capital, Rarestone Capital, BTX Capital","Mar 10, 2021",2022/11/12
454,Aluna,Seed Round,"$1,000,000 ","100/x, DEXT Force Ventures","Feb 26, 2021",2022/11/12
455,Playcent,Seed Round,"$1,000,000 ",,"Feb 26, 2021",2022/11/12
456,Aluna Social,Private Round,"$1,000,000 ","Genesis Block Ventures, Gate.io Labs, DEXT Force Ventures, BlueBridge-Financial","Feb 26, 2021",2022/11/12
457,Artie,Seed Round,"$10,000,000 ","Winklevoss Capital, Warner Music Group, SinaiVentures, ShrugCapital, RaisedinSpaceEnterprises, MatthewBall, MarkPincus, MaCVentureCapital, KevinMayer, Kevin Durant","Feb 17, 2021",2022/11/12
458,ChainGuardians,Seed Round,"$1,200,000 ","AU21 Capital, GD10 Ventures, Genblock Capital, GBV Capital, Moonrock Capital, Morningstar Ventures, Twin Apex Capital","Feb 17, 2021",2022/11/12
459,Seascape Crowns,Private Round,"$272,000 ","LD Capital, Spark Digital Capital, Paka Capital, Nabais Capital","Feb 16, 2021",2022/11/12
460,Gourmet Galaxy,Strategic Round,-,Magnus Capital,"Jan 15, 2021",2022/11/12
461,Antler Interactive,Seed Round,"$2,100,000 ","NGC Ventures, Bitscale Capital, GBV Capital, Kyros Ventures, Coin98 Ventures, AsymmVentures, AugmentVentures, BTX Capital, Rarestone Capital, X21 Digital, FelixXu, RyanFang","Jan 06, 2021",2022/11/12
462,Exeedme,Seed Round,"$750,000 ","Moonrock Capital, Morningstar Ventures, AU21 Capital","Dec 21, 2020",2022/11/12
463,Axie Infinity,Strategic Round,"$860,000 ",,"Nov 20, 2020",2022/11/12
464,Infinite Fleet,Strategic Round,"$3,100,000 ",AdamBack,"Aug 06, 2020",2022/11/12
