,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
288,CryptoDiceHero,,,2022/11/12
289,Noa Game,,,2022/11/12
290,12 Legions,MetaGaming Guild,41,2022/11/12
291,Attack Wagon,,,2022/11/12
292,Instinct Games,,,2022/11/12
293,Dragon War,MetaGaming Guild,41,2022/11/12
293,Dragon War,Good Games Guild,77,2022/11/12
294,Orbitau,,,2022/11/12
295,Survival Game Online,,,2022/11/12
296,Hero Cat Key,,,2022/11/12
297,Arker,Good Games Guild,77,2022/11/12
298,More Than Gamers,,,2022/11/12
299,Sugar Kingdom,,,2022/11/12
300,Alpha Kombat,,,2022/11/12
301,League Of Empires,Good Games Guild,77,2022/11/12
302,Ark Rivals,MetaGaming Guild,41,2022/11/12
302,Ark Rivals,Good Games Guild,77,2022/11/12
303,FunFi,,,2022/11/12
304,Bored Battle Apes,,,2022/11/12
305,Mortal Wars,,,2022/11/12
306,X-Metaverse,,,2022/11/12
307,MosterIsland,,,2022/11/12
308,WormFi,,,2022/11/12
309,Dogs Kombat,,,2022/11/12
310,MoneyTree,,,2022/11/12
311,Spellfire,Good Games Guild,77,2022/11/12
312,Impostors,,,2022/11/12
313,Spring Game,,,2022/11/12
314,Alpha Kombat,,,2022/11/12
315,Codyfight,MetaGaming Guild,41,2022/11/12
316,Metroverse,,,2022/11/12
317,Oceanland,,,2022/11/12
318,MetaFighter,,,2022/11/12
319,Pizza Game,,,2022/11/12
320,Monster Saga,,,2022/11/12
321,Drawshop Kingdom Reverse Joystick,,,2022/11/12
322,Unobtainium,,,2022/11/12
323,PolyGod,,,2022/11/12
324,PiratesKing,,,2022/11/12
325,RoboHero,,,2022/11/12
326,Gamesta,,,2022/11/12
327,Sugar Kingdom,,,2022/11/12
328,Arker,Good Games Guild,77,2022/11/12
329,Orbitau,,,2022/11/12
330,Dragon War,MetaGaming Guild,41,2022/11/12
330,Dragon War,Good Games Guild,77,2022/11/12
331,11Minutes,,,2022/11/12
332,ConeGame,,,2022/11/12
333,Crypto Citizen,Blockchain Space,36,2022/11/12
333,Crypto Citizen,UniX Gaming,36,2022/11/12
334,99Starz,,,2022/11/12
335,Starpad,,,2022/11/12
336,Karmaverse,Earn Guild,68,2022/11/12
336,Karmaverse,Good Games Guild,77,2022/11/12
336,Karmaverse,Avocado DAO,33,2022/11/12
336,Karmaverse,PathDAO,39,2022/11/12
336,Karmaverse,YGG Sea,40,2022/11/12
337,Adroverse,,,2022/11/12
338,GamesPad,YGG Sea,40,2022/11/12
339,Vmates,,,2022/11/12
340,Oren Game,,,2022/11/12
341,Manarium,,,2022/11/12
342,Bit Hotel,Blockchain Space,36,2022/11/12
343,Vero Farm,,,2022/11/12
344,Luna-Pad,,,2022/11/12
345,Jungle Road,,,2022/11/12
346,DeFi11,,,2022/11/12
347,Palmare,,,2022/11/12
348,Run For Life,,,2022/11/12
349,Kryptomon,,,2022/11/12
350,The Spartans,,,2022/11/12
351,Vulcano,,,2022/11/12
352,Fistiana,,,2022/11/12
353,Galaxy Adventure,,,2022/11/12
354,XHashtag,,,2022/11/12
355,StarFish OS,,,2022/11/12
356,RIFI United,,,2022/11/12
357,Meta Spatial,,,2022/11/12
358,YAY Games,,,2022/11/12
359,SuperStep,,,2022/11/12
360,Scotty Beam,,,2022/11/12
361,VICMOVE,,,2022/11/12
362,PolkaFantasy,,,2022/11/12
363,Bad Days | Marvelous NFTs,,,2022/11/12
364,SpaceY 2025,,,2022/11/12
365,DeHorizon,MetaGaming Guild,41,2022/11/12
365,DeHorizon,Yield Guild Games,41,2022/11/12
365,DeHorizon,UniX Gaming,36,2022/11/12
365,DeHorizon,PathDAO,39,2022/11/12
366,Karmaverse,Earn Guild,68,2022/11/12
366,Karmaverse,Good Games Guild,77,2022/11/12
366,Karmaverse,Avocado DAO,33,2022/11/12
366,Karmaverse,PathDAO,39,2022/11/12
366,Karmaverse,YGG Sea,40,2022/11/12
367,Adroverse,,,2022/11/12
368,GamesPad,YGG Sea,40,2022/11/12
369,Vmates,,,2022/11/12
370,Oren Game,,,2022/11/12
371,Manarium,,,2022/11/12
372,Bit Hotel,Blockchain Space,36,2022/11/12
373,Vero Farm,,,2022/11/12
374,Luna-Pad,,,2022/11/12
375,Jungle Road,,,2022/11/12
376,DeFi11,,,2022/11/12
377,Palmare,,,2022/11/12
378,Run For Life,,,2022/11/12
379,Kryptomon,,,2022/11/12
380,Starpad,,,2022/11/12
381,H3RO3S,,,2022/11/12
382,Gadget War,,,2022/11/12
383,Street Runner,,,2022/11/12
384,Infinite Arcade TIC,,,2022/11/12
385,TapMe,,,2022/11/12
386,Yarloo,,,2022/11/12
387,Astra Guild Ventures,,,2022/11/12
388,TribeLand,,,2022/11/12
389,The Spartans,,,2022/11/12
390,GameStation,,,2022/11/12
391,Invoker,,,2022/11/12
392,NFT Champions,,,2022/11/12
393,Vodka Token,,,2022/11/12
394,The Realm Defenders,,,2022/11/12
395,Crane Miners,,,2022/11/12
396,Cryptoverse,,,2022/11/12
397,SHEEBA,,,2022/11/12
398,Rune Shards,,,2022/11/12
399,Tribalpunk Cryptoverse,,,2022/11/12
400,Avania,,,2022/11/12
401,Metan Evolutions,,,2022/11/12
402,Kyberdyne,,,2022/11/12
403,GemUni,,,2022/11/12
404,DAMA,,,2022/11/12
405,Dracoo Master,Earn Guild,68,2022/11/12
405,Dracoo Master,Hooga Gaming,10,2022/11/12
405,Dracoo Master,Blockchain Space,36,2022/11/12
405,Dracoo Master,YGG Sea,40,2022/11/12
406,Defina,,,2022/11/12
407,WIZARD,,,2022/11/12
408,Knight War,,,2022/11/12
409,Cryptoblades Kingdoms,,,2022/11/12
410,Basketballverse,MetaGaming Guild,41,2022/11/12
411,Avania,,,2022/11/12
412,Tribalpunk Cryptoverse,,,2022/11/12
413,OneTo11,,,2022/11/12
414,Crane Miners,,,2022/11/12
415,Rune Shards,,,2022/11/12
416,SHEEBA,,,2022/11/12
417,Cryptoverse,,,2022/11/12
418,MetaChess,,,2022/11/12
419,Ashward,,,2022/11/12
420,Dark Land Survival,,,2022/11/12
421,Pagan Gods,,,2022/11/12
422,Supernova,,,2022/11/12
423,Atlantis Metaverse,,,2022/11/12
424,Starly,,,2022/11/12
425,Heres,,,2022/11/12
426,Spintop,,,2022/11/12
427,The Dynasty,,,2022/11/12
428,Arata,,,2022/11/12
429,MetaBomb,,,2022/11/12
430,Monsters Clan,,,2022/11/12
431,MedaBots,,,2022/11/12
432,Endless Battlefield,PathDAO,39,2022/11/12
433,EvoVerses,,,2022/11/12
