,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
1724,SingSing,YGG Sea,40,2022/11/12
1725,HeroBook,,,2022/11/12
1726,Heroes Of Lowhelm,,,2022/11/12
1727,"Dear, Ella",,,2022/11/12
1728,Planet IX,,,2022/11/12
1729,Portal Fantasy,,,2022/11/12
1730,ZomLand,,,2022/11/12
1731,NEO FANTASY,,,2022/11/12
1732,Cyberpop,Earn Guild,68,2022/11/12
1733,Heroes Land,,,2022/11/12
1734,Catheon Gaming,Earn Guild,68,2022/11/12
1735,Sky Meta,Cosmic Guild,15,2022/11/12
1736,Bora,GuildFi,25,2022/11/12
1737,Champion Strike : Crypto Arena,,,2022/11/12
1738,Ruler Of The Land: Era Of Factions,,,2022/11/12
