,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
351,ctg-capital,Crypto Ventures,2,0.06x,4.51x,Battle Saga(0.06x ),2022/11/12
352,traveler-capital,Crypto Ventures,3,0.06x,10.19x,"Last Survivor(0.09x ), MetaRacers(0.04x ), Age Of Tanks(0.04x )",2022/11/12
353,cointcs-ventures,Crypto Ventures,1,0.06x,4.51x,Battle Saga(0.06x ),2022/11/12
354,mapleblock,Crypto Ventures,4,0.05x,10.92x,"Kawaii Islands(0.06x ), Cryptia(0.04x )",2022/11/12
355,maven-11-capital,Crypto Ventures,4,0.04x,6.06x,The Realm Defenders(0.04x ),2022/11/12
356,chain-ridge-capital,Crypto Ventures,2,0.04x,9x,Chimeras(0.04x ),2022/11/12
357,dream-ventures-ph,Crypto Ventures,1,0.04x,11.54x,Age Of Tanks(0.04x ),2022/11/12
358,coin-tv,Marketing Support,1,0.04x,12.9x,Pocoland(0.04x ),2022/11/12
359,avisa-ventures-capital,Crypto Ventures,1,0.04x,5.08x,Yarloo(0.04x ),2022/11/12
360,kylin-network,Project Based,1,0.03x,41.59x,Real Realm(0.03x ),2022/11/12
361,nonceblox,Developers Support,1,0.02x,21.19x,DeFi11(0.02x ),2022/11/12
362,biconomy,Project Based,1,0.02x,21.19x,DeFi11(0.02x ),2022/11/12
363,launchpool,Project Based,2,0.02x,21.19x,DeFi11(0.02x ),2022/11/12
364,defied-bank,Project Based,1,0.02x,21.19x,DeFi11(0.02x ),2022/11/12
365,tdefi,Crypto Ventures,1,0.02x,21.19x,DeFi11(0.02x ),2022/11/12
366,ccix-global,Crypto Ventures,2,0.01x,13.84x,FuruKuru(0.01x ),2022/11/12
367,mvstmg,Crypto Ventures,-,-,-,,2022/11/12
368,choi-ventures,Crypto Ventures,-,-,-,,2022/11/12
369,andromeda-capital,Crypto Ventures,-,-,-,,2022/11/12
370,sino-global-capital,Crypto Ventures,-,-,-,,2022/11/12
371,hillrise-ventures,Crypto Ventures,-,-,-,,2022/11/12
372,lanaxy-group,,-,-,-,,2022/11/12
373,chain-catcher,,-,-,-,,2022/11/12
374,petrock-capital,Crypto Ventures,-,-,-,,2022/11/12
375,inclusion-capital,,-,-,-,,2022/11/12
376,bscdaily,Marketing Support,-,-,-,,2022/11/12
377,astronaut-capital,,-,-,-,,2022/11/12
378,dextools,Developers Support,-,-,-,,2022/11/12
379,solana-foundation,,-,-,-,,2022/11/12
380,switchboard,Project Based,-,-,-,,2022/11/12
381,hc-capital,Crypto Ventures,-,-,-,,2022/11/12
382,pantera-capital,Crypto Ventures,-,-,-,,2022/11/12
383,cmt-digital,Crypto Ventures,-,-,-,,2022/11/12
384,fundamental-labs,Crypto Ventures,-,-,-,,2022/11/12
385,collabcurrency,Crypto Ventures,-,-,-,,2022/11/12
386,valhalla-capital,Crypto Ventures,-,-,-,,2022/11/12
387,konvoy-ventures,Crypto Ventures,-,-,-,,2022/11/12
388,old-fashion-research,Crypto Ventures,-,-,-,,2022/11/12
389,black-mamba-ventures,,-,-,-,,2022/11/12
390,solanium,Project Based,-,-,-,,2022/11/12
391,cipholio-ventures,Crypto Ventures,-,-,-,,2022/11/12
392,dragonfly-capital,Crypto Ventures,-,-,-,,2022/11/12
393,arrington-xrp-capital,Project Based,-,-,-,,2022/11/12
394,sfermion,,-,-,-,,2022/11/12
395,dcg-group,,-,-,-,,2022/11/12
396,gsr,,-,-,-,,2022/11/12
397,0xventures,Crypto Ventures,-,-,-,,2022/11/12
398,primeblock-ventures,Crypto Ventures,-,-,-,,2022/11/12
399,chainflow-capital,Crypto Ventures,-,-,-,,2022/11/12
400,bitcoin.com,,-,-,-,,2022/11/12
401,bitmart,Exchange Fund,-,-,-,,2022/11/12
402,near-foundation,Project Based,-,-,-,,2022/11/12
403,499-block,Crypto Ventures,-,-,-,,2022/11/12
404,newave-capital,Crypto Ventures,-,-,-,,2022/11/12
405,crypto.com-capital,Exchange Fund,-,-,-,,2022/11/12
406,coinbase-ventures,Exchange Fund,-,-,-,,2022/11/12
407,hashkey-capital,Crypto Ventures,-,-,-,,2022/11/12
408,mm-ventures,Crypto Ventures,-,-,-,,2022/11/12
409,ybb-foundation,Crypto Ventures,-,-,-,,2022/11/12
410,follow-the-seed,Crypto Ventures,-,-,-,,2022/11/12
411,synaps,Project Based,-,-,-,,2022/11/12
412,digital-strategies,,-,-,-,,2022/11/12
413,impossible-finance,Project Based,-,-,-,,2022/11/12
414,ht-ventures,Crypto Ventures,-,-,-,,2022/11/12
415,gfs-ventures,,-,-,-,,2022/11/12
416,foresight-ventures,Crypto Ventures,-,-,-,,2022/11/12
417,existential-capital,Crypto Ventures,-,-,-,,2022/11/12
418,drops-ventures,,-,-,-,,2022/11/12
419,gta-ventures,Crypto Ventures,-,-,-,,2022/11/12
420,launch-zone,Project Based,-,-,-,,2022/11/12
421,op-crypto,,-,-,-,,2022/11/12
422,citizenx-crypto-ventures,Crypto Ventures,-,-,-,,2022/11/12
423,formless-capital,Crypto Ventures,-,-,-,,2022/11/12
424,gcrypto,Marketing Support,-,-,-,,2022/11/12
425,fabric-ventures,,-,-,-,,2022/11/12
426,lambo-capital,Crypto Ventures,-,-,-,,2022/11/12
427,onchain-capital,,-,-,-,,2022/11/12
428,safelaunch,Project Based,-,-,-,,2022/11/12
429,b21-capital,Project Based,-,-,-,,2022/11/12
430,chainboost,Project Based,-,-,-,,2022/11/12
431,moonedge,Crypto Ventures,-,-,-,,2022/11/12
432,bayz,Project Based,-,-,-,,2022/11/12
433,atelier-ventures,,-,-,-,,2022/11/12
434,blockventure,Crypto Ventures,-,-,-,,2022/11/12
435,coinervn,Marketing Support,-,-,-,,2022/11/12
436,desi-crypto-trades,Marketing Support,-,-,-,,2022/11/12
437,paragen,Project Based,-,-,-,,2022/11/12
438,play-ventures,Crypto Ventures,-,-,-,,2022/11/12
439,outplay-entertainment,Non-Crypto Capital,-,-,-,,2022/11/12
440,pnetwork,Project Based,-,-,-,,2022/11/12
441,revel-lab,Crypto Ventures,-,-,-,,2022/11/12
442,third-prime-capital,,-,-,-,,2022/11/12
443,in-square-ventures,,-,-,-,,2022/11/12
444,jsquare,Crypto Ventures,-,-,-,,2022/11/12
445,llama-ventures,,-,-,-,,2022/11/12
446,crypto-banter,Marketing Support,-,-,-,,2022/11/12
447,the-lao,Crypto Ventures,-,-,-,,2022/11/12
448,zokyo-ventures,Security Support,-,-,-,,2022/11/12
449,a195-capital,Crypto Ventures,-,-,-,,2022/11/12
450,blockchain-capital,Crypto Ventures,-,-,-,,2022/11/12
451,protocol-ventures,Crypto Ventures,-,-,-,,2022/11/12
452,everest-ventures-group,,-,-,-,,2022/11/12
453,puzzle-ventures,,-,-,-,,2022/11/12
454,dapper-labs,Project Based,-,-,-,,2022/11/12
455,daoventures,Project Based,-,-,-,,2022/11/12
456,propeller,Crypto Ventures,-,-,-,,2022/11/12
457,6kstarter,Crypto Ventures,-,-,-,,2022/11/12
458,scorpio-vc,Crypto Ventures,-,-,-,,2022/11/12
459,fractal,Project Based,-,-,-,,2022/11/12
460,cryptoforce,Crypto Ventures,-,-,-,,2022/11/12
461,bring-finance,Project Based,-,-,-,,2022/11/12
